split,scope,metric,value,n_obs
train,pooled,direction_score,0.8008604648538845,182495
train,pooled,directional_return_pct,0.49940590179745964,182495
train,pooled,magnitude_score,0.36196213454757553,182495
train,pooled,conf_direction_score,0.8608545796122011,182495
train,pooled,conf_direction_lift,0.05999411475831662,182495
train,pooled,conf_magnitude_score,0.30399810891278417,182495
train,pooled,hit_rate,0.8569659442724458,182495
train,pooled,precision_up,0.8862603216618236,139028
train,pooled,recall_up,0.9229242350473765,133505
train,pooled,f1_up,0.9042207732641552,182495
train,pooled,brier,0.1433802174847404,182495
train,pooled,brier_skill,-0.16973158843535607,182495
train,pooled,log_loss,0.46069221933602283,182495
train,pooled,ece_10,0.16939855490260017,182495
train,pooled,mae,0.3978719009875578,182495
train,pooled,rmse,0.7240177253315349,182495
train,pooled,rank_ic,0.3173268527273653,935
train,pooled,rank_ic_t,85.7616390890957,935
train,pooled,r2_vs_vol,0.07533261046295447,182495
train,pooled,mae_conf_top_decile,0.22030083733270786,18250
train,pooled,mae_conf_bottom_decile,0.8009359311280796,18250
train,pooled,conf_mag_gradient,0.5806350937953717,18250
train,pooled,frac_stocks_hit_gt_50,1.0,203
train,pooled,frac_stocks_beat_naive,1.0,203
train,pooled,var_share_universe,0.27764608473627994,182495
train,residual,direction_score,0.1907916167079639,182495
train,residual,directional_return_pct,0.08897214594201289,182495
train,residual,magnitude_score,0.2805472938164366,182495
train,residual,conf_direction_score,0.18763829454973924,182495
train,residual,conf_direction_lift,-0.0031533221582246695,182495
train,residual,conf_magnitude_score,0.3469162069661579,182495
train,residual,hit_rate,0.525263705854955,182495
train,residual,precision_up,0.504855137094686,139028
train,residual,recall_up,0.7977201177446668,87987
train,residual,f1_up,0.6183644252582429,182495
train,residual,brier,0.2915978411764939,182495
train,residual,brier_skill,-0.16937680630131413,182495
train,residual,log_loss,0.7924446372131155,182495
train,residual,ece_10,0.19639129105268738,182495
train,residual,rank_ic,0.18199564536711543,935
train,residual,rank_ic_t,54.08047727828699,935
valid,pooled,direction_score,0.29481723269301396,53909
valid,pooled,directional_return_pct,0.18399305707375432,53909
valid,pooled,magnitude_score,0.2522194429500427,53909
valid,pooled,conf_direction_score,0.45695428169926466,53909
valid,pooled,conf_direction_lift,0.1621370490062507,53909
valid,pooled,conf_magnitude_score,0.42586592747965457,53909
valid,pooled,hit_rate,0.6508931718265967,53909
valid,pooled,precision_up,0.7221524793587949,41422
valid,pooled,recall_up,0.8035944551901999,37224
valid,pooled,f1_up,0.7606998448745008,53909
valid,pooled,brier,0.20794160974736434,53909
valid,pooled,brier_skill,0.08488991232346865,53909
valid,pooled,log_loss,0.6035092738941187,53909
valid,pooled,ece_10,0.029835590813550677,53909
valid,pooled,mae,0.46668381442682494,53909
valid,pooled,rmse,0.9202406117768397,53909
valid,pooled,rank_ic,0.2460341162504115,263
valid,pooled,rank_ic_t,32.11880798536983,263
valid,pooled,r2_vs_vol,0.06701376560134609,53909
valid,pooled,mae_conf_top_decile,0.21374355216830968,5391
valid,pooled,mae_conf_bottom_decile,1.3539055412910757,5391
valid,pooled,conf_mag_gradient,1.140161989122766,5391
valid,pooled,frac_stocks_hit_gt_50,0.9903846153846154,208
valid,pooled,frac_stocks_beat_naive,0.09134615384615384,208
valid,pooled,var_share_universe,0.42752765708599616,53909
valid,residual,direction_score,0.07407297584416864,53909
valid,residual,directional_return_pct,0.035347651794843164,53909
valid,residual,magnitude_score,0.229572912723232,53909
valid,residual,conf_direction_score,0.08136224511353946,53909
valid,residual,conf_direction_lift,0.007289269269370818,53909
valid,residual,conf_magnitude_score,0.3528621613051277,53909
valid,residual,hit_rate,0.5131425179469106,53909
valid,residual,precision_up,0.4949785138332287,41422
valid,residual,recall_up,0.7937669376693767,25830
valid,residual,f1_up,0.6097365134122406,53909
valid,residual,brier,0.2907158882275367,53909
valid,residual,brier_skill,-0.16366753443094817,53909
valid,residual,log_loss,0.7887025490833165,53909
valid,residual,ece_10,0.18469379867758184,53909
valid,residual,rank_ic,0.12964635974758076,263
valid,residual,rank_ic_t,23.740459028886836,263
test,pooled,direction_score,0.24284531639369372,58656
test,pooled,directional_return_pct,0.128070888183447,58656
test,pooled,magnitude_score,0.2469853886640786,58656
test,pooled,conf_direction_score,0.40185273204175564,58656
test,pooled,conf_direction_lift,0.15900741564806192,58656
test,pooled,conf_magnitude_score,0.29072240667883686,58656
test,pooled,hit_rate,0.591635979268958,58656
test,pooled,precision_up,0.7070360382446678,36711
test,pooled,recall_up,0.6629207743780967,39154
test,pooled,f1_up,0.6842681078231069,58656
test,pooled,brier,0.22371538992136925,58656
test,pooled,brier_skill,0.0740366166280555,58656
test,pooled,log_loss,0.6395510983311069,58656
test,pooled,ece_10,0.05405924350906559,58656
test,pooled,mae,0.39712213322063866,58656
test,pooled,rmse,0.744429543547001,58656
test,pooled,rank_ic,0.18859640781815962,282
test,pooled,rank_ic_t,26.167672775885624,282
test,pooled,r2_vs_vol,0.014687088818387428,58656
test,pooled,mae_conf_top_decile,0.2448541794654458,5866
test,pooled,mae_conf_bottom_decile,0.7752498265104114,5866
test,pooled,conf_mag_gradient,0.5303956470449656,5866
test,pooled,frac_stocks_hit_gt_50,0.9567307692307693,208
test,pooled,frac_stocks_beat_naive,0.04326923076923077,208
test,pooled,var_share_universe,0.487340155564847,58656
test,residual,direction_score,0.07785458729237071,58656
test,residual,directional_return_pct,0.029706655795091245,58656
test,residual,magnitude_score,0.2426695983448064,58656
test,residual,conf_direction_score,0.09085626330512797,58656
test,residual,conf_direction_lift,0.013001676012757257,58656
test,residual,conf_magnitude_score,0.32141375071916534,58656
test,residual,hit_rate,0.5220096835788325,58656
test,residual,precision_up,0.5069052872436055,36711
test,residual,recall_up,0.6519408632286996,28544
test,residual,f1_up,0.5703470998390928,58656
test,residual,brier,0.27957501592956613,58656
test,residual,brier_skill,-0.12047120602354044,58656
test,residual,log_loss,0.7626457582448658,58656
test,residual,ece_10,0.14561664470258273,58656
test,residual,rank_ic,0.1045229966784146,282
test,residual,rank_ic_t,21.90064630138359,282
