split,scope,metric,value,n_obs
train,pooled,direction_score,0.7852278818313475,182495
train,pooled,directional_return_pct,0.4896576315751081,182495
train,pooled,magnitude_score,0.3561079601682151,182495
train,pooled,conf_direction_score,0.8451597525396412,182495
train,pooled,conf_direction_lift,0.059931870708293644,182495
train,pooled,conf_magnitude_score,0.29857572090075013,182495
train,pooled,hit_rate,0.8471574563686677,182495
train,pooled,precision_up,0.8762075745917757,140364
train,pooled,recall_up,0.9212239241975956,133505
train,pooled,f1_up,0.8981520361924862,182495
train,pooled,brier,0.14822948628428903,182495
train,pooled,brier_skill,-0.1447910069611924,182495
train,pooled,log_loss,0.4719960629208561,182495
train,pooled,ece_10,0.1631583618274258,182495
train,pooled,mae,0.40152248603140495,182495
train,pooled,rmse,0.7307091508762876,182495
train,pooled,rank_ic,0.3105445858719591,935
train,pooled,rank_ic_t,84.48175911701107,935
train,pooled,r2_vs_vol,0.058161939870782775,182495
train,pooled,mae_conf_top_decile,0.22119209297221434,18250
train,pooled,mae_conf_bottom_decile,0.7922931367083677,18250
train,pooled,conf_mag_gradient,0.5711010437361533,18250
train,pooled,frac_stocks_hit_gt_50,1.0,203
train,pooled,frac_stocks_beat_naive,1.0,203
train,pooled,var_share_universe,0.27764608473627994,182495
train,residual,direction_score,0.17363205374085294,182495
train,residual,directional_return_pct,0.08097010074236534,182495
train,residual,magnitude_score,0.28808151152393713,182495
train,residual,conf_direction_score,0.17442879121289728,182495
train,residual,conf_direction_lift,0.0007967374720443399,182495
train,residual,conf_magnitude_score,0.33833558952342796,182495
train,residual,hit_rate,0.5206170032055673,182495
train,residual,precision_up,0.5017882078025705,140364
train,residual,recall_up,0.8004932546853513,87987
train,residual,f1_up,0.61688365717689,182495
train,residual,brier,0.29097116582506055,182495
train,residual,brier_skill,-0.165866920703037,182495
train,residual,log_loss,0.7900608495751235,182495
train,residual,ece_10,0.19283226027899156,182495
train,residual,rank_ic,0.183854338612562,935
train,residual,rank_ic_t,55.60114781975086,935
valid,pooled,direction_score,0.7683219589207821,53909
valid,pooled,directional_return_pct,0.4795035376576209,53909
valid,pooled,magnitude_score,0.28388477183571437,53909
valid,pooled,conf_direction_score,0.8375972827134028,53909
valid,pooled,conf_direction_lift,0.06927532379262069,53909
valid,pooled,conf_magnitude_score,0.4051320542517419,53909
valid,pooled,hit_rate,0.8232577120703407,53909
valid,pooled,precision_up,0.8627599937129984,38174
valid,pooled,recall_up,0.884778637438212,37224
valid,pooled,f1_up,0.8736306002811746,53909
valid,pooled,brier,0.16063166243571808,53909
valid,pooled,brier_skill,-0.10396390408453904,53909
valid,pooled,log_loss,0.4987110980310072,53909
valid,pooled,ece_10,0.15417045232741539,53909
valid,pooled,mae,0.4469217380661555,53909
valid,pooled,rmse,0.9062156822857494,53909
valid,pooled,rank_ic,0.2828492980402413,263
valid,pooled,rank_ic_t,37.67949937194072,263
valid,pooled,r2_vs_vol,0.09523541653624679,53909
valid,pooled,mae_conf_top_decile,0.20044957810723468,5391
valid,pooled,mae_conf_bottom_decile,1.3180701769055383,5391
valid,pooled,conf_mag_gradient,1.1176205987983037,5391
valid,pooled,frac_stocks_hit_gt_50,1.0,208
valid,pooled,frac_stocks_beat_naive,1.0,208
valid,pooled,var_share_universe,0.42752765708599616,53909
valid,residual,direction_score,0.16699655904167104,53909
valid,residual,directional_return_pct,0.07969082047358654,53909
valid,residual,magnitude_score,0.2755788510207209,53909
valid,residual,conf_direction_score,0.1728402869638391,53909
valid,residual,conf_direction_lift,0.005843727922168057,53909
